p,timestamp,y,yhat,yhat_smooth,yhat_threshold,p_threshold,hmm_pred
0.5,2015-03-01 15:54:28,None,3_2_stairs,3_2_stairs,1_entrance,0.2,1_entrance
0.5,2015-03-01 15:54:29,None,3_2_stairs,3_2_stairs,1_entrance,0.2,1_lobby_aud
0.5,2015-03-01 15:54:30,None,3_2_stairs,3_2_stairs,1_entrance,0.2,2_1_stairs
0.5,2015-03-01 15:54:31,None,3_2_stairs,3_2_stairs,1_entrance,0.2,3_2_stairs
0.8,2015-03-01 15:54:32,None,3_2_stairs,3_2_stairs,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 15:54:33,None,3_2_stairs,3_2_stairs,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 15:54:34,None,3_2_stairs,3_2_stairs,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 15:54:35,None,3_2_stairs,3_2_stairs,3_2_stairs,0.8,3_2_stairs
0.5,2015-03-01 15:54:36,None,2_1_stairs,2_hist_new,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 15:54:37,None,2_1_stairs,2_hist_new,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:54:38,None,3_2_stairs,2_lobby,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:54:39,None,3_2_stairs,2_lobby,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:54:40,None,3_2_stairs,2_lobby,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:54:41,None,3_2_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:54:42,None,3_2_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:54:43,None,3_2_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:54:44,None,3_2_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:54:45,None,3_2_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:54:46,None,3_2_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 15:54:47,None,2_1_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:54:49,None,3_2_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 15:54:49,None,2_1_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:54:50,None,3_2_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:54:51,None,3_2_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 15:54:52,None,2_1_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.7,2015-03-01 15:54:53,None,2_gal_south,2_hist_old,2_gal_south,0.7,3_2_stairs
0.7,2015-03-01 15:54:54,None,2_gal_south,2_hist_old,2_gal_south,0.7,3_2_stairs
0.8,2015-03-01 15:54:55,None,2_gal_south,2_hist_old,2_gal_south,0.8,3_2_stairs
0.8,2015-03-01 15:54:56,None,2_gal_south,2_hist_old,2_gal_south,0.8,3_2_stairs
0.6,2015-03-01 15:54:57,None,2_gal_south,2_hist_old,2_gal_south,0.2,3_2_stairs
0.7,2015-03-01 15:54:58,None,2_gal_south,2_hist_old,2_gal_south,0.7,3_2_stairs
0.7,2015-03-01 15:54:59,None,2_gal_south,2_hist_old,2_gal_south,0.7,3_2_stairs
0.5,2015-03-01 15:55:00,None,2_gal_north,2_hist_old,2_gal_south,0.2,3_2_stairs
0.5,2015-03-01 15:55:01,None,2_gal_north,2_hist_old,2_gal_south,0.2,3_2_stairs
0.4,2015-03-01 15:55:02,None,2_gal_north,2_hist_old,2_gal_south,0.2,3_2_stairs
0.5,2015-03-01 15:55:03,None,2_gal_south,2_hist_old,2_gal_south,0.2,3_2_stairs
0.5,2015-03-01 15:55:04,None,2_gal_north,2_hist_old,2_gal_south,0.2,3_2_stairs
0.5,2015-03-01 15:55:05,None,2_gal_north,3_gal,2_gal_south,0.2,3_2_stairs
0.4,2015-03-01 15:55:06,None,2_gal_south,2_hist_old,2_gal_south,0.2,3_2_stairs
0.5,2015-03-01 15:55:07,None,3_2_stairs,2_hist_old,2_gal_south,0.2,3_2_stairs
0.9,2015-03-01 15:55:08,None,2_gal_south,2_hist_old,2_gal_south,0.9,3_2_stairs
0.9,2015-03-01 15:55:09,None,2_gal_south,2_hist_old,2_gal_south,0.9,3_2_stairs
1.0,2015-03-01 15:55:11,None,2_gal_north,2_hist_old,2_gal_north,1.0,3_2_stairs
0.9,2015-03-01 15:55:11,None,2_gal_north,2_hist_old,2_gal_north,0.9,3_2_stairs
0.8,2015-03-01 15:55:12,None,3_2_stairs,2_hist_old,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 15:55:13,None,3_2_stairs,2_hist_old,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 15:55:14,None,3_2_stairs,2_hist_old,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 15:55:15,None,3_2_stairs,2_hist_old,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 15:55:16,None,3_2_stairs,2_hist_old,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 15:55:17,None,3_2_stairs,2_hist_old,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 15:55:18,None,3_2_stairs,2_hist_old,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 15:55:19,None,3_2_stairs,2_hist_old,3_2_stairs,0.8,3_2_stairs
0.9,2015-03-01 15:55:20,None,3_2_stairs,2_hist_old,3_2_stairs,0.9,3_2_stairs
0.8,2015-03-01 15:55:21,None,3_2_stairs,2_lobby,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 15:55:22,None,3_2_stairs,2_hist_old,3_2_stairs,0.8,3_2_stairs
0.6,2015-03-01 15:55:23,None,3_2_stairs,2_lobby,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 15:55:24,None,3_2_stairs,2_lobby,3_2_stairs,0.2,3_2_stairs
0.7,2015-03-01 15:55:25,None,3_2_stairs,2_hist_old,3_2_stairs,0.7,3_2_stairs
0.8,2015-03-01 15:55:26,None,2_hist_new,2_hist_old,2_hist_new,0.8,3_2_stairs
0.8,2015-03-01 15:55:27,None,2_hist_new,2_hist_old,2_hist_new,0.8,3_2_stairs
0.6,2015-03-01 15:55:28,None,2_lobby,2_hist_old,2_lobby,0.2,2_lobby
0.6,2015-03-01 15:55:29,None,2_lobby,2_hist_old,2_lobby,0.2,2_lobby
0.6,2015-03-01 15:55:30,None,2_lobby,2_hist_old,2_lobby,0.2,2_lobby
0.5,2015-03-01 15:55:31,None,2_hist_old,2_hist_old,2_lobby,0.2,2_hist_old
0.5,2015-03-01 15:55:32,None,2_hist_old,2_hist_old,2_lobby,0.2,2_hist_old
0.5,2015-03-01 15:55:33,None,2_hist_old,2_hist_old,2_lobby,0.2,2_hist_old
0.5,2015-03-01 15:55:34,None,2_hist_old,3_gal,2_lobby,0.2,2_hist_old
0.5,2015-03-01 15:55:35,None,2_hist_old,2_hist_old,2_lobby,0.2,2_hist_old
0.5,2015-03-01 15:55:36,None,2_hist_old,2_hist_old,2_lobby,0.2,2_hist_old
0.5,2015-03-01 15:55:37,None,2_hist_old,2_hist_old,2_lobby,0.2,2_hist_old
0.8,2015-03-01 15:55:38,None,2_hist_old,2_hist_old,2_hist_old,0.8,2_hist_old
0.8,2015-03-01 15:55:39,None,2_hist_old,2_hist_old,2_hist_old,0.8,2_hist_old
1.0,2015-03-01 15:55:40,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:55:41,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.8,2015-03-01 15:55:42,None,2_hist_old,2_hist_old,2_hist_old,0.8,2_hist_old
0.6,2015-03-01 15:55:43,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
1.0,2015-03-01 15:55:44,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:55:45,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:55:46,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:55:47,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:55:48,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:55:49,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.8,2015-03-01 15:55:50,None,2_hist_old,2_hist_old,2_hist_old,0.8,2_hist_old
0.5,2015-03-01 15:55:51,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:55:52,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:55:53,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
1.0,2015-03-01 15:55:54,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.6,2015-03-01 15:55:55,None,3_gal,2_hist_old,3_gal,0.2,2_hist_old
1.0,2015-03-01 15:55:56,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:55:57,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:55:58,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:55:59,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:00,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:01,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.6,2015-03-01 15:56:02,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:56:03,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.9,2015-03-01 15:56:04,None,2_hist_old,2_hist_old,2_hist_old,0.9,2_hist_old
1.0,2015-03-01 15:56:05,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.9,2015-03-01 15:56:06,None,2_hist_old,2_hist_old,2_hist_old,0.9,2_hist_old
1.0,2015-03-01 15:56:07,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.5,2015-03-01 15:56:08,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:09,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:10,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:11,None,2_lobby,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:12,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:13,None,2_lobby,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:14,None,2_lobby,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:15,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:16,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:17,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:18,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:19,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:20,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.5,2015-03-01 15:56:21,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
1.0,2015-03-01 15:56:22,None,2_hist_old,3_gal,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:23,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.8,2015-03-01 15:56:24,None,3_gal,2_hist_old,3_gal,0.8,2_hist_old
1.0,2015-03-01 15:56:25,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:26,None,2_hist_old,2_hist_new,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:27,None,2_hist_old,2_hist_new,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:28,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:29,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.6,2015-03-01 15:56:30,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:56:31,None,2_hist_old,2_hist_new,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:56:32,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:56:33,None,2_hist_old,2_hist_new,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:56:34,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:56:35,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:56:36,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:56:37,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
1.0,2015-03-01 15:56:38,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:39,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:40,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:41,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:42,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:43,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:44,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:45,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:46,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:47,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:48,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:49,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:50,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:51,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:52,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.6,2015-03-01 15:56:53,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
1.0,2015-03-01 15:56:54,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.8,2015-03-01 15:56:55,None,2_hist_old,2_hist_old,2_hist_old,0.8,2_hist_old
1.0,2015-03-01 15:56:56,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:57,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:58,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:56:59,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.6,2015-03-01 15:57:00,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.9,2015-03-01 15:57:01,None,2_hist_old,2_hist_old,2_hist_old,0.9,2_hist_old
0.9,2015-03-01 15:57:02,None,2_hist_old,2_hist_old,2_hist_old,0.9,2_hist_old
0.9,2015-03-01 15:57:03,None,2_hist_old,2_hist_old,2_hist_old,0.9,2_hist_old
0.8,2015-03-01 15:57:04,None,2_hist_old,2_hist_old,2_hist_old,0.8,2_hist_old
0.8,2015-03-01 15:57:05,None,2_hist_old,2_hist_old,2_hist_old,0.8,2_hist_old
1.0,2015-03-01 15:57:06,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:07,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.9,2015-03-01 15:57:08,None,2_hist_old,2_hist_old,2_hist_old,0.9,2_hist_old
0.9,2015-03-01 15:57:09,None,2_hist_old,2_hist_old,2_hist_old,0.9,2_hist_old
1.0,2015-03-01 15:57:10,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.7,2015-03-01 15:57:11,None,2_hist_old,2_hist_old,2_hist_old,0.7,2_hist_old
0.5,2015-03-01 15:57:12,None,3_gal,2_hist_old,2_hist_old,0.2,2_hist_old
0.9,2015-03-01 15:57:13,None,2_hist_old,2_hist_old,2_hist_old,0.9,2_hist_old
0.9,2015-03-01 15:57:14,None,2_hist_old,2_hist_old,2_hist_old,0.9,2_hist_old
0.9,2015-03-01 15:57:15,None,2_hist_old,2_hist_old,2_hist_old,0.9,2_hist_old
0.7,2015-03-01 15:57:16,None,2_hist_new,2_hist_old,2_hist_new,0.7,2_hist_old
0.7,2015-03-01 15:57:17,None,2_hist_new,2_hist_old,2_hist_new,0.7,2_hist_old
0.6,2015-03-01 15:57:18,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:19,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:20,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.7,2015-03-01 15:57:21,None,2_hist_new,2_hist_old,2_hist_new,0.7,2_hist_old
0.6,2015-03-01 15:57:22,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:23,None,2_hist_new,2_hist_old,2_hist_new,0.2,2_hist_old
0.6,2015-03-01 15:57:24,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.7,2015-03-01 15:57:25,None,2_hist_old,2_hist_old,2_hist_old,0.7,2_hist_old
0.6,2015-03-01 15:57:26,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:27,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:28,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:29,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:30,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:31,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:32,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:33,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:34,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:35,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
1.0,2015-03-01 15:57:36,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:37,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:38,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:39,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:40,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:41,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:42,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:43,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:44,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:45,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:46,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:47,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:48,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
1.0,2015-03-01 15:57:49,None,2_hist_old,2_hist_old,2_hist_old,1.0,2_hist_old
0.6,2015-03-01 15:57:50,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:51,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:52,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:53,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:54,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:55,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:56,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:57,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:58,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:57:59,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
0.6,2015-03-01 15:58:00,None,2_hist_old,2_hist_old,2_hist_old,0.2,2_hist_old
